,speech_text,intent,sampled,speech_text_augmented
9,make a new list for school supplies,lists_createoradd,False,make a fresh list for school supply
25,create appointment to list,lists_createoradd,False,create appointment to listing
14,i need you to put walk the dog on my list to do,lists_createoradd,False,i need you to put walking the domestic_dog on my list to do
12,i need to make a grocery list,lists_createoradd,False,i need to make a grocery listing
13,enter this to a list,lists_createoradd,False,enter this to a listing
7,make list,lists_createoradd,False,make list
2,add grocery shopping to my to do list,lists_createoradd,False,add grocery shopping to my to do listing
28,i would like to start a new list,lists_createoradd,False,i would like to start a fresh listing
3,bring up a new shopping list,lists_createoradd,False,bring up a new shopping listing
24,please find all name start with alphabetic of g and create a list,lists_createoradd,False,please breakthrough all name beginning with alphabetical of gramme and create a list
38,i wish this event to be removed from my calendar,calendar_remove,False,i wish this event to be take from my calendar
36,delete my meeting for one pm on march nineteenth,calendar_remove,False,delete my group_meeting for one necropsy on march nineteenth
50,delete all appointments for tomorrow,calendar_remove,False,delete all appointments for tomorrow
42,cancel dentist appointment for this week,calendar_remove,False,cancel tooth_doctor appointment for this hebdomad
47,delete an first event of twenty third of march twenty seventeen,calendar_remove,False,delete an number_one event of twenty third of march 20 17
32,remove today's meeting at evening,calendar_remove,False,remove today's meeting at eve
34,delete all details in event,calendar_remove,False,delete all inside_information in event
51,remove all the reminders from the calendar,calendar_remove,False,remove all the reminders from the calendar
35,delete the events from the calendar on twenty eighth march,calendar_remove,False,delete the events from the calendar on twenty one-eighth Mar
55,clear all events from march seven,calendar_remove,False,clear all event from Mar seven
69,can you please give me john's email,email_querycontact,False,can you delight give me john's e-mail
79,how do i reach sarah,email_querycontact,False,how do i reach sarah
81,call vikki,email_querycontact,False,phone_call vikki
62,show me the information of friend,email_querycontact,False,show me the info of friend
65,search the contact,email_querycontact,False,hunt the contact
77,may you please pull up information about a contact,email_querycontact,False,whitethorn you please pull up info about a contact
63,what's jesse's birthday,email_querycontact,False,what's jesse's birthday
70,show dan's contact detail,email_querycontact,False,show dan's contact item
73,what are john's contact details,email_querycontact,False,what are john's contact details
